jurisdiction_key,jurisdiction,county_raw,priority,data_type,office,phone,source_url,office_address,records_foia,access,updates,verified,notes,source_workbook
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull first (A),Probate / Estates / Unknown Heirs,"Register of Wills for Baltimore County - Alexis Burrell-Rohde, Register of Wills for Baltimore County","410-887-6680 (Main Number), 410-887-2893 (New Proceedings Division)",https://registers.maryland.gov/main/baltimore.html,"County Courts Building, 401 Bosley Avenue, Room 500, Towson, Maryland 21204",Click Here (Email link on website),Easy,Daily,Verified,"The office encourages calling before visiting to ensure all required documents are prepared. Online estate search is available statewide via https://registers.maryland.gov/main/search.html. Filings cannot be accepted via email. Original wills can be mailed for safekeeping with a $5 fee. Drop box available for submissions, with last pickup at 3:30 p.m. Copies can be requested online or by phone.",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull first (A),Foreclosure (Judicial/Nonjudicial),"Circuit Court for Baltimore County, Clerk's Office","410-887-2139 (Circuit Court), 410-887-3497 (Central Assignment Office)",https://www.baltimorecountymd.gov/departments/circuit/daily-docket,"401 Bosley Avenue, Towson, Maryland 21204",baltcocc@mdcourts.gov,Medium,Daily,Verified,"The online Daily Docket includes all scheduled events for Civil, Criminal, and Domestic cases, updated between 4 and 4:30 p.m. each day for the next day's docket. Foreclosure complaints (judicial foreclosures) would appear here. For nonjudicial foreclosures, check the Recorder/Register of Deeds for Notice of Trustee Sale filings. Information is subject to change; verify courtroom assignments on monitors at the courthouse. No direct search for 'foreclosure' on the daily docket, requires manual review of civil cases.",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull first (A),Recorder / Register of Deeds - Lien & Deed Index,"Clerk of the Circuit Court, Land Records Division","410-887-2650 (Baltimore County Land Records), 410-887-3088 (Circuit Court Land Records Office)",https://landrec.msa.maryland.gov/,"401 Bosley Avenue, Towson, Maryland 21204",,Easy,Daily,Verified,"Maryland Land Records (MDLandRec) is the digital repository for land records, including deeds, mortgages, and various liens (mechanic's, IRS & state tax, HOA, child-support, lis pendens). Requires account creation for full access. Tax and child-support liens are indexed against the person, requiring name-matching to the assessor roll. The site provides a search guide and contact for helpdesk.",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull first (A),Tax Sale / Delinquent Tax Auction,"Office of Budget and Finance, Taxpayer Services","410-887-5616 (Tax Sale Information), 410-887-3313 (Office of Budget and Finance)",https://www.baltimorecountymd.gov/departments/budfin/taxpayer-services/tax-sale,"400 Washington Avenue, Room 150, Towson, Maryland 21204",financeinfo@baltimorecountymd.gov,Easy,Annually (list updated weekly prior to sale),Verified,Baltimore County conducts an annual tax sale for properties with unpaid real property taxes. The notice of advertisement is published weekly for four weeks prior to the sale. The list is updated on Thursdays. Property owners have six months from the sale date to redeem the property. Penalties and fees apply to delinquent accounts. Past winning bidder reports are available on the website.,county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull first (A),County Tax Delinquency (pre-sale roll),"Office of Budget and Finance, Taxpayer Services",410-887-3313,https://www.baltimorecountymd.gov/departments/budfin/taxpayer-services/late-unpaid-taxes,"400 Washington Avenue, Room 150, Towson, Maryland 21204",financeinfo@baltimorecountymd.gov,Medium,Annually (delinquent notices mailed in February),Verified,"Delinquent notices are mailed in February to all taxpayers with unpaid accounts. Any unpaid balances past December 31 are considered delinquent and subject to interest and penalties. The full pre-sale roll is not directly published online as a single list, but the tax sale list serves as the pre-auction delinquent roll. Individual property tax payment status can be checked via the PropertyTaxPayment system (mytax.baltimorecountymd.gov).",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull first (A),City Tax Delinquency (each incorporated city),N/A (Baltimore County handles county-wide property taxes),,,,,,,Verified,"Baltimore County handles property taxes for the entire county, including incorporated areas. There is no separate 'city tax delinquency' list for individual incorporated cities within Baltimore County. Baltimore City (a separate jurisdiction) has its own tax sale and delinquency process.",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull next (B),Code Violations - Unincorporated County,"Department of Permits, Approvals and Inspections (PAI), Code Enforcement Division",410-887-3950 (Code Enforcement),https://www.baltimorecountymd.gov/departments/pai/code-enforcement,"111 W. Chesapeake Avenue, Towson, Maryland 21204",pai@baltimorecountymd.gov,Medium,Ongoing,Verified,"PAI handles code enforcement for all of Baltimore County. The website provides information on how to report a violation and common violations. An online portal for searching specific code violations by address is not readily apparent from the main page, suggesting a records request or direct inquiry may be needed for detailed lists. They use an online complaint form for reporting.",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull next (B),Code Violations - City,N/A (Baltimore County handles code enforcement for all areas),,,,,,,Verify locally,"Baltimore County's Department of Permits, Approvals and Inspections (PAI) handles code enforcement for all areas within Baltimore County, including incorporated towns. There is no separate city-level code violation system for individual incorporated cities within the county.",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull next (B),Condemned / Unsafe Structures / Demolition,"Department of Permits, Approvals and Inspections (PAI), Code Enforcement Division",410-887-3950 (Code Enforcement),https://www.baltimorecountymd.gov/departments/pai/code-enforcement,"111 W. Chesapeake Avenue, Towson, Maryland 21204",pai@baltimorecountymd.gov,Medium,Ongoing,Verify locally,"Information regarding condemned, unsafe structures, or demolition orders would fall under the purview of Code Enforcement. While the website details general code enforcement, a specific public list or database for condemned/unsafe structures is not explicitly provided. A public records request or direct contact with the department would likely be necessary to obtain such a list.",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
baltimore_county_md,"Baltimore County, MD","Baltimore County, MD",Pull last (C),Multiple-Eviction Landlords,"District Court of Maryland for Baltimore County, Clerk's Office",410-512-2000 (District Court Main Number),https://www.mdcourts.gov/district/baltimore,"120 E. Chesapeake Avenue, Towson, Maryland 21204 (Towson District Court)",,Hard,Daily,Verify locally,"Eviction (failure to pay rent, tenant holding over) cases are heard in the District Court. To identify 'multiple-eviction landlords,' one would need to access the court's electronic docket (Maryland Judiciary Case Search) and search by plaintiff name. This requires knowing landlord names or performing broad searches and filtering. The public portal does not easily allow for bulk data extraction or searching for patterns like multiple filings by a single entity.",county-compare-24005-24031-24003-24021-24013-24009-doors-per-deal-community.xlsx
